sample_id,task_id,risk_score,bsod_state,core_events,rk_events
516,516,6,NO,76,0
517,517,10,NO,765,0
518,518,10,NO,363,0
519,519,10,NO,382,0
520,520,10,NO,1212,0
521,521,10,NO,169,0
522,522,10,NO,333,0
523,523,10,NO,3182,0
524,524,10,NO,658,0
525,525,10,NO,7338,0
526,526,10,NO,518,0
527,527,10,NO,7110,0
528,528,10,NO,105,0
529,529,10,NO,4065,0
530,530,10,NO,328,0
531,531,10,NO,22159,0
532,532,10,NO,492,0
533,533,10,NO,330,0
534,534,10,NO,16855,0
535,535,9,NO,2152,7
536,536,10,NO,324,0
537,537,10,NO,19697,0
538,538,10,NO,753,0
539,539,10,NO,349,0
540,540,10,NO,301,0
541,541,7,NO,6212,0
542,542,10,NO,3653,0
543,543,6,NO,79,0
544,544,7,NO,1057,0
545,545,10,NO,502,0
546,546,10,NO,45702,0
547,547,10,NO,14924,0
548,548,10,NO,4970,0
549,549,10,NO,425,0
550,550,6,NO,76,0
551,551,10,NO,6646,0
552,552,10,NO,330,0
553,553,10,NO,355,0
554,554,10,NO,6405,0
555,555,10,NO,6509,0
556,556,10,NO,18585,0
557,557,10,NO,362,0
558,558,10,NO,6645,0
559,559,10,NO,502,0
560,560,6,NO,78,0
561,561,10,NO,535,0
562,562,10,NO,267,0
563,563,10,NO,354,0
564,564,10,NO,330,0
565,565,10,NO,166,0
566,566,10,NO,6679,0
567,567,10,NO,3425,0
568,568,10,NO,486,0
569,569,6,NO,3814,0
570,570,10,NO,13582,0
571,571,10,NO,393,0
572,572,6,NO,76,0
573,573,10,NO,161,0
574,574,10,NO,354,0
575,575,10,NO,2018,0
576,576,10,NO,356,0
577,577,10,NO,330,0
578,578,10,NO,354,0
579,579,10,NO,361,0
580,580,10,NO,20188,0
581,581,10,NO,2351,0
582,582,10,NO,557,0
583,583,10,NO,116,0
584,584,10,NO,7310,0
585,585,10,NO,110,0
586,586,10,NO,5712,0
587,587,10,NO,506,0
588,588,10,NO,348,0
589,589,10,NO,225,0
590,590,10,NO,190,0
591,591,6,NO,76,0
592,592,10,NO,29578,0
593,593,6,NO,76,0
594,594,10,NO,15667,0
595,595,10,NO,477,0
596,596,10,NO,6528,0
597,597,4,NO,26,0
598,598,10,NO,4052,0
599,599,6,NO,2913,0
600,600,10,NO,5234,0
601,601,10,NO,611,0
602,602,10,NO,62,0
603,603,6,NO,2763,0
604,604,10,NO,743,0
605,605,9,NO,664,0
606,606,10,NO,3056,0
607,607,10,NO,5326,0
608,608,10,NO,1858,0
609,609,10,NO,4095,0
610,610,10,NO,16072,0
611,611,10,NO,529,0
612,612,10,NO,401,0
613,613,10,NO,322,0
614,614,10,NO,290,0
615,615,10,NO,386,0
616,616,10,NO,612,0
617,617,10,NO,116,0
618,618,10,NO,287,0
619,619,10,NO,317,0
620,620,10,NO,751,0
621,621,10,NO,3668,0
622,622,4,NO,0,0
623,623,6,NO,76,0
624,624,7,NO,14908,0
625,625,6,NO,76,0
626,626,6,NO,78,0
627,627,10,NO,495,0
628,628,10,NO,3362,0
629,629,10,NO,15530,0
630,630,10,NO,356,0
631,631,10,NO,296,0
632,632,10,NO,3983,0
633,633,4,NO,12,0
634,634,10,NO,423,0
635,635,6,NO,76,0
636,636,1,NO,Task Error,Task Error
637,637,10,NO,396,0
638,638,6,NO,76,0
639,639,10,NO,1008,0
640,640,10,NO,135,0
641,641,10,NO,491,0
642,642,7,NO,6373,0
643,643,6,NO,77,0
644,644,10,NO,355,0
645,645,10,NO,6372,0
646,646,6,NO,76,0
647,647,10,NO,5096,0
648,648,10,NO,20330,0
649,649,6,NO,76,0
650,650,6,NO,76,0
651,651,1,NO,Task Error,Task Error
652,652,10,NO,1784,0
653,653,10,NO,86,0
654,654,6,NO,76,0
655,655,10,NO,508,0
656,656,10,NO,354,0
657,657,10,NO,425,0
658,658,6,NO,76,0
659,659,10,NO,258,0
660,660,9,NO,492,0
661,661,10,NO,441,0
662,662,10,NO,6351,0
663,663,7,NO,7273,0
664,664,10,NO,508,0
665,665,10,NO,6757,0
666,666,10,NO,46307,0
667,667,10,NO,17,0
668,668,10,NO,283,0
669,669,10,NO,14624,0
670,670,4,NO,2234,0
671,671,9,NO,3008,0
672,672,10,NO,186,0
673,673,10,NO,321,0
674,674,10,NO,356,0
675,675,10,NO,160,0
676,676,10,NO,287,0
677,677,5,NO,6017,0
678,678,10,NO,330,0
679,679,6,NO,3055,0
680,680,10,NO,736,0
681,681,10,NO,357,0
682,682,10,NO,15894,0
683,683,10,NO,296,0
684,684,10,NO,98654,0
685,685,10,NO,319,0
686,686,10,NO,3924,0
687,687,10,NO,166,0
688,688,6,NO,76,0
689,689,10,NO,3977,0
690,690,2,NO,0,0
691,691,10,NO,17,0
692,692,10,NO,1134,0
693,693,10,NO,7257,0
694,694,6,NO,77,0
695,695,10,NO,2923,0
696,696,10,NO,533,0
697,697,5,NO,1836,0
698,698,10,NO,4025,0
699,699,10,NO,467,0
700,700,10,NO,9154,0
701,701,10,NO,750,0
702,702,10,NO,321,0
703,703,4,NO,36894,0
704,704,10,NO,4667,0
705,705,10,NO,3947,0
706,706,10,NO,744,0
707,707,10,NO,390,0
708,708,6,NO,76,0
709,709,10,NO,4013,0
710,710,10,NO,1284,0
711,711,10,NO,4509,0
712,712,10,NO,1879,0
713,713,10,NO,3967,0
714,714,10,NO,360,0
715,715,10,NO,3983,0
716,716,10,NO,13398,0
717,717,10,NO,1494,0
718,718,6,NO,75,0
719,719,10,NO,5221,0
720,720,10,NO,4081,0
721,721,1,NO,Task Error,Task Error
722,722,10,NO,5529,0
723,723,6,NO,76,0
724,724,10,NO,641,0
725,725,10,NO,90,0
726,726,10,NO,743,0
727,727,10,NO,2338,0
728,728,1,NO,Task Error,Task Error
729,729,10,NO,4592,0
730,730,10,NO,3688,0
731,731,10,NO,45,0
732,732,10,NO,255,0
733,733,10,NO,4049,0
734,734,10,NO,549,0
735,735,10,NO,729,0
736,736,10,NO,95,0
737,737,10,NO,5530,0
738,738,6,NO,76,0
739,739,10,NO,354,0
740,740,10,NO,160,0
741,741,10,NO,354,0
742,742,7,NO,4042,0
743,743,10,NO,492,0
744,744,10,NO,4083,0
745,745,10,NO,355,0
746,746,10,NO,322,0
747,747,10,NO,12402,0
748,748,4,NO,0,0
749,749,10,NO,355,0
750,750,10,NO,3930,0
751,751,10,NO,443,0
752,752,10,NO,134,0
753,753,10,NO,454,0
754,754,10,NO,17689,0
755,755,10,NO,4147,0
756,756,10,NO,4325,0
757,757,10,NO,542,0
758,758,10,NO,446,0
759,759,10,NO,17370,0
760,760,6,NO,76,0
761,761,6,NO,76,0
762,762,10,NO,4700,0
763,763,10,NO,521,0
764,764,10,NO,238,0
765,765,10,NO,361,0
766,766,10,NO,486,0
767,767,10,NO,2617,0
768,768,10,NO,420,0
769,769,6,NO,76,0
770,770,6,NO,76,0
771,771,10,NO,2992,0
772,772,10,NO,1781,0
773,773,10,NO,356,0
774,774,9,NO,549,0
775,775,6,NO,77,0
776,776,10,NO,3876,0
777,777,10,NO,43673,0
778,778,10,NO,9022,0
779,779,10,NO,5719,0
780,780,10,NO,737,0
781,781,10,NO,355,0
782,782,10,NO,11882,0
783,783,10,NO,557,0
784,784,10,NO,423,0
785,785,10,NO,354,0
786,786,10,NO,510,0
787,787,10,NO,356,0
788,788,10,NO,769,0
789,789,10,NO,364,0
790,790,10,NO,368,0
791,791,10,NO,391,0
792,792,6,NO,76,0
793,793,6,NO,76,0
794,794,6,NO,76,0
795,795,10,NO,3045,0
796,796,10,NO,321,0
797,797,8,NO,549,0
798,798,10,NO,6486,0
799,799,10,NO,347,0
800,800,10,NO,100011,0
801,801,10,NO,354,0
802,802,10,NO,5374,0
803,803,10,NO,321,0
804,804,10,NO,472,0
805,805,10,NO,318,0
806,806,10,NO,532,0
807,807,10,NO,59719,0
808,808,10,NO,7185,0
809,809,10,NO,2133,0
810,810,6,NO,76,0
811,811,10,NO,776,0
812,812,10,NO,320,0
813,813,10,NO,298,0
814,814,10,NO,524,0
815,815,10,NO,167,0
816,816,10,NO,258,0
817,817,10,NO,4209,0
818,818,10,NO,355,0
819,819,10,NO,5754,0
820,820,10,NO,503,0
821,821,6,NO,77,0
822,822,10,NO,90,0
823,823,10,NO,354,0
824,824,5,NO,1760,0
825,825,10,NO,5061,0
826,826,10,NO,359,0
827,827,10,NO,164,0
828,828,10,NO,360,0
829,829,10,NO,4127,0
830,830,10,NO,9145,0
831,831,6,NO,76,0
832,832,10,NO,494,0
833,833,10,NO,440,0
834,834,10,NO,354,0
835,835,10,NO,321,0
836,836,6,NO,76,0
837,837,10,NO,321,0
838,838,6,NO,1810,0
839,839,10,NO,512,0
840,840,10,NO,644,0
841,841,10,NO,10344,0
842,842,6,NO,76,0
843,843,10,NO,4927,0
844,844,10,NO,12705,0
845,845,10,NO,133,0
846,846,10,NO,531,0
847,847,10,NO,17751,0
848,848,10,NO,68327,0
849,849,10,NO,6697,0
850,850,10,NO,342,0
851,851,10,NO,598,6
852,852,10,NO,5917,0
853,853,1,NO,Task Error,Task Error
854,854,10,NO,292,0
855,855,10,NO,397,0
856,856,10,NO,773,0
857,857,10,NO,65,0
858,858,10,NO,356,0
859,859,10,NO,263,0
860,860,10,NO,361,0
861,861,10,NO,354,0
862,862,10,NO,5186,0
863,863,10,NO,161,0
864,864,6,NO,76,0
865,865,10,NO,355,0
866,866,10,NO,369,0
867,867,6,NO,79,0
868,868,10,NO,4002,0
869,869,10,NO,6362,0
870,870,6,NO,76,0
871,871,10,NO,167,0
872,872,10,NO,341,0
873,873,10,NO,356,0
874,874,10,NO,3109,0
875,875,10,NO,166,0
876,876,10,NO,5162,0
877,877,10,NO,355,0
878,878,10,NO,334,0
879,879,6,NO,76,0
880,880,10,NO,794,0
881,881,10,NO,34,0
882,882,10,NO,8321,0
883,883,10,NO,199,0
884,884,10,NO,549,0
885,885,10,NO,493,0
886,886,10,NO,354,0
887,887,10,NO,424,0
888,888,10,NO,527,0
889,889,10,NO,425,0
890,890,10,NO,355,0
891,891,6,NO,76,0
892,892,10,NO,19963,0
893,893,6,NO,529,0
894,894,10,NO,6983,0
895,895,10,NO,12872,0
896,896,10,NO,355,0
897,897,10,NO,6783,0
898,898,10,NO,354,0
899,899,10,NO,3825,0
900,900,10,NO,474,0
901,901,10,NO,94,0
902,902,10,NO,87,0
903,903,10,NO,1835,0
904,904,10,NO,1033,0
905,905,10,NO,480,0
906,906,10,NO,362,0
907,907,10,NO,10465,0
908,908,6,NO,77,0
909,909,10,NO,357,0
910,910,10,NO,356,0
911,911,10,NO,4276,0
912,912,6,NO,76,0
913,913,10,NO,12231,0
914,914,6,NO,76,0
915,915,10,NO,87,0
916,916,10,NO,5529,0
917,917,10,NO,18391,2
918,918,10,NO,6011,0
919,919,10,NO,259,0
920,920,6,NO,78,0
921,921,10,NO,6343,0
922,922,10,NO,261,0
923,923,10,NO,482,0
924,924,10,NO,809,0
925,925,10,NO,27650,0
926,926,10,NO,17417,0
927,927,10,NO,1111,0
928,928,4,NO,14,0
929,929,10,NO,354,0
930,930,10,NO,342,0
931,931,10,NO,5265,0
932,932,10,NO,14684,0
933,933,10,NO,139,0
934,934,10,NO,479,0
935,935,10,NO,4964,0
936,936,10,NO,356,0
937,937,10,NO,1924,0
938,938,10,NO,5989,0
939,939,10,NO,287,0
940,940,6,NO,76,0
941,941,10,NO,16729,0
942,942,1,NO,Task Error,Task Error
943,943,10,NO,356,0
944,944,10,NO,17,0
945,945,10,NO,330,0
946,946,6,NO,76,0
947,947,10,NO,438,0
948,948,10,NO,5512,0
949,949,10,NO,364,0
950,950,10,NO,160,0
951,951,10,NO,5337,0
952,952,10,NO,511,0
953,953,10,NO,6388,0
954,954,10,NO,4786,0
955,955,10,NO,6473,0
956,956,10,NO,3263,0
957,957,10,NO,4641,0
958,958,6,NO,76,0
959,959,10,NO,422,0
960,960,10,NO,4187,0
961,961,10,NO,6022,0
962,962,6,NO,76,0
963,963,10,NO,4551,0
964,964,10,NO,280,0
965,965,10,NO,543,0
966,966,10,NO,296,0
967,967,10,NO,165,0
968,968,10,NO,3739,0
969,969,10,NO,354,0
970,970,10,NO,329,0
971,971,6,NO,76,0
972,972,10,NO,357,0
973,973,10,NO,346,0
974,974,10,NO,322,0
975,975,10,NO,354,0
976,976,10,NO,340,0
977,977,10,NO,288,0
978,978,10,NO,355,0
979,979,1,NO,Task Error,Task Error
980,980,10,NO,3560,0
981,981,10,NO,355,0
982,982,10,NO,425,0
983,983,10,NO,353,0
984,984,10,NO,6501,0
985,985,10,NO,355,0
986,986,10,NO,6688,0
987,987,7,NO,5349,0
988,988,10,NO,366,0
989,989,10,NO,513,0
990,990,10,NO,371,0
991,991,10,NO,471,0
992,992,1,NO,Task Error,Task Error
993,993,10,NO,18161,0
994,994,10,NO,125,0
995,995,10,NO,394,0
996,996,10,NO,348,0
997,997,10,NO,335,0
998,998,10,NO,604,0
999,999,6,NO,76,0
1000,1000,6,NO,76,0
1001,1001,10,NO,592,0
1002,1002,1,NO,2,0
1003,1003,4,NO,2,0
1004,1004,5,NO,3474,0
1005,1005,1,NO,133,0
1006,1006,4,NO,31,0
1007,1007,1,NO,149,0
1008,1008,1,NO,71,0
1009,1009,4,NO,97,0
1010,1010,7,NO,65,0
1011,1011,4,NO,117,0
1012,1012,6,NO,11,0
1013,1013,4,NO,0,0
1014,1014,6,NO,459,0
1015,1015,1,NO,173,0
1016,1016,6,NO,322,0
1017,1017,4,NO,2,0
1018,1018,4,NO,84,0
1019,1019,5,NO,237,0
1020,1020,5,NO,166,0
1021,1021,4,NO,2,0
1022,1022,4,NO,10,0
1023,1023,6,NO,5070,0
1024,1024,4,NO,86,0
1025,1025,6,NO,1932,0
1026,1026,1,NO,58,0
1027,1027,4,NO,120,0
1028,1028,4,NO,2,0
1029,1029,1,NO,68,0
1030,1030,5,NO,166,0
1031,1031,5,NO,144,0
1032,1032,7,NO,3138,0
